config,error
[1/3] | rbf-s1 | prod | Z+ZZ | linear | r=2,"Expected n_features=n_qubits=4, got 10"
[2/3] | rbf-s1 | prod | Y+YY | linear | r=1,"Expected n_features=n_qubits=4, got 10"
[3/3] | tanh | prod | Z+ZZ | full | r=1,"Expected n_features=n_qubits=4, got 10"
