Group,RMSE,R2,Best C,Best epsilon,Best gamma,Features
Rank Aggregation,0.24186189717834986,0.25755226198501235,10.0,0.1,0.1,10
Gevrey Method,0.24284483335449894,0.25150532632670664,5.0,0.1,1.0,4
MRMR (10 features),0.25002498070440937,0.20658979356141327,10.0,0.1,0.1,10
Random Forest,0.2765392696021208,0.0293903586532267,0.1,0.1,scale,10
Correlation,0.28085075567850154,-0.0011108576799565562,0.1,0.1,0.01,2
