dataset,n_qubits,d_full,preprocessor,data_map,pauli_seq,entanglement,reps,var_y,tau_mode,r2_target_effective,tau,r2_axis_max,target_unreachable,tau_minus_mse_axis,mse_axis_true,mse_mc_adaptive,gap_mc_adaptive,t_used_adaptive,t_req_pred,p_L_final,p_hat_final,s_successes,stop_reason,t_epsilon,ridge_train_mse,svr_classic_mse
riemann_features,4,256,id,prod,Z+ZZ,linear,1,0.129761421499368,ratio,0.050000000000000044,0.1232733504243996,0.27169971744114285,0,0.028768070481170915,0.09450527994322869,0.09450527994322869,0.0,256,3491,0.0010561552662112783,0.0859375,22,budget,20,0.014290789683378633,0.014527199060562199
riemann_features,4,256,id,prod,Z+ZZ,linear,2,0.129761421499368,ratio,0.050000000000000044,0.1232733504243996,0.24143701305272458,0,0.02484113894131461,0.098432211483085,0.098432211483085,0.0,256,256,0.0,0.07421875,19,budget,111,0.015940090028210018,0.014527199060562199
riemann_features,4,256,id,prod,Z+ZZ,full,1,0.129761421499368,ratio,0.050000000000000044,0.1232733504243996,0.23553343850446162,0,0.024075082716004517,0.09919826770839509,0.09919826770839509,0.0,256,256,0.0,0.04296875,11,budget,20,0.014303954698147322,0.014527199060562199
riemann_features,4,256,id,prod,Z+ZZ,full,2,0.129761421499368,ratio,0.050000000000000044,0.1232733504243996,0.07033117127127775,0,0.002638201684908109,0.1206351487394915,0.1206351487394915,0.0,256,256,0.0,0.0234375,6,budget,1,0.03325592240298762,0.014527199060562199
riemann_features,4,256,id,pi*prod,Z+ZZ,linear,1,0.129761421499368,ratio,0.050000000000000044,0.1232733504243996,0.02752586598200768,1,-0.002916275577141997,0.1261896260015416,0.12810752285795812,0.0019178968564165233,90,256,0.0,0.0,0,futility_eps,1,0.08958066803578664,0.014527199060562199
riemann_features,4,256,id,pi*prod,Z+ZZ,linear,2,0.129761421499368,ratio,0.050000000000000044,0.1232733504243996,0.02752586598200768,1,-0.002916275577141997,0.1261896260015416,0.1261896260015416,0.0,90,256,0.0,0.0,0,futility_eps,1,0.08807498907304802,0.014527199060562199
riemann_features,4,256,id,pi*prod,Z+ZZ,full,1,0.129761421499368,ratio,0.050000000000000044,0.1232733504243996,0.012274784323546561,1,-0.00489527761254685,0.12816862803694645,0.12816862803694645,0.0,90,256,0.0,0.0,0,futility_eps,1,0.09338016387412475,0.014527199060562199
riemann_features,4,256,id,pi*prod,Z+ZZ,full,2,0.129761421499368,ratio,0.050000000000000044,0.1232733504243996,0.009300964322334071,1,-0.0052811647231874315,0.12855451514758703,0.12855451514758703,0.0,90,256,0.0,0.0,0,futility_eps,1,0.10491111405831993,0.014527199060562199
riemann_features,4,256,id,sum+prod,Z+ZZ,linear,1,0.129761421499368,ratio,0.050000000000000044,0.1232733504243996,0.16523592124589337,0,0.014953176948656347,0.10832017347574326,0.10832017347574326,0.0,256,256,0.0,0.03515625,9,budget,7,0.03626372070936505,0.014527199060562199
riemann_features,4,256,id,sum+prod,Z+ZZ,linear,2,0.129761421499368,ratio,0.050000000000000044,0.1232733504243996,0.10545920149299859,0,0.007196464820951362,0.11607688560344824,0.11607688560344824,0.0,256,256,0.0,0.015625,4,budget,4,0.04529840540961005,0.014527199060562199
