Group,RMSE,R2,qubits
Quantum Kernel SVR - Random Forest Features,0.2984739921908161,-0.008142419506003806,10
Quantum Kernel SVR - Correlation Features,0.29847399219081555,-0.008142419505999587,10
Quantum Kernel SVR - Gevrey Method Features,0.29847399219082205,-0.008142419506043552,10
Quantum Kernel SVR - MRMR (10 features) Features,0.2984739921908176,-0.008142419506013798,10
Quantum Kernel SVR - Mutual Information Features,0.2984739921908174,-0.008142419506012022,10
Quantum Kernel SVR - My Selection Features,0.2984739921908003,-0.008142419505896559,10
