Kernel,Geometric Difference,Eigenvalue Max,Eigenvalue Min,Eigenvalue Ratio Max/Min
Baseline (AngleX sem entanglement),15.307347141351938,673.656548269043,1.7281870190179017e-08,38756275412.16294
Basic sem Hadamard,153.88736361778146,379.3830149705826,2.5904150418501793e-06,146450805.66666865
Basic sem Hadamard XX,148.9204021810956,380.8025640435653,1.9055352984274375e-06,199829717.8677421
Basic com Hadamard,15.307347141378342,673.656548269041,1.7281870642735926e-08,38756274403.0988
Strong sem Hadamard,153.88736361778146,379.3830149705826,2.5904150418501793e-06,146450805.66666865
Strong com Hadamard,15.307347141378342,673.656548269041,1.7281870642735926e-08,38756274403.0988
IQP,3161.8548095678893,72.62619109847489,0.08227508099622055,882.724029327163
