Group,model,RMSE,R2,Features
Gevrey Method,RNN,0.6053282820503152,-3.132757047433758,10
Correlation,RNN,0.6061554598202366,-3.1440595441358177,10
MRMR (10 features),RNN,0.6062886595927504,-3.1458810189009485,10
Mutual Information,RNN,0.6064553309248292,-3.1481607728778016,10
Random Forest,RNN,0.6068984179886555,-3.1542244274284874,10
