Group,RMSE,R2,Best C,Best epsilon,Best gamma,Features
Mutual Information,0.11584534285340826,0.8486386116012998,1.0,0.01,0.1,10
MRMR (10 features),0.1329078818114052,0.8007678519097117,1.0,0.01,scale,10
Random Forest,0.25621956517076544,0.2595725280523521,0.1,0.1,scale,10
Correlation,0.2611338306814764,0.23089749907298063,1.0,0.1,0.01,10
Gevrey Method,0.27871938488500525,0.1238221013155435,1.0,0.1,0.01,10
