Group,RMSE,R2,qubits
Quantum Kernel SVR - Random Forest Features,0.27199575646656227,0.1655848106516158,10
Quantum Kernel SVR - Correlation Features,0.2603097944126866,0.2357438140139726,10
Quantum Kernel SVR - Gevrey Method Features,0.2846616281808995,0.08606396239096359,10
Quantum Kernel SVR - MRMR (10 features) Features,0.24118452741896684,0.3439199516390449,10
Quantum Kernel SVR - Mutual Information Features,0.23290089302706082,0.38821298938569493,10
