dataset,n_qubits,d_full,preprocessor,data_map,pauli_seq,entanglement,reps,var_y,tau_mode,r2_target_effective,tau,r2_axis_max,target_unreachable,tau_minus_mse_axis,mse_axis_true,mse_mc_adaptive,gap_mc_adaptive,t_used_adaptive,t_req_pred,p_L_final,p_hat_final,s_successes,stop_reason,t_epsilon,ridge_train_mse,svr_classic_mse
riemann_features,2,16,id,riemann_advanced_data_map,XX,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,11,0.04084904365162321,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XX,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,11,0.04084904365162321,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XX,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,11,0.04084904365162321,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XX,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,11,0.04084904365162321,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XY,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738707,0,0.0332673561975739,0.052946986215801156,0.052946986215801156,0.0,16,16,0.0,0.25,4,budget,8,0.02798436526835563,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XY,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738707,0,0.0332673561975739,0.052946986215801156,0.052946986215801156,0.0,16,16,0.0,0.25,4,budget,8,0.02798436526835563,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XY,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738707,0,0.0332673561975739,0.052946986215801156,0.052946986215801156,0.0,16,16,0.0,0.25,4,budget,8,0.02798436526835563,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XY,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738707,0,0.0332673561975739,0.052946986215801156,0.052946986215801156,0.0,16,16,0.0,0.25,4,budget,8,0.02798436526835563,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XZ,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,6,0.03377041237464387,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XZ,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,6,0.03377041237464387,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XZ,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,6,0.03377041237464387,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,XZ,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,6,0.03377041237464387,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YX,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738695,0,0.03326735619757389,0.05294698621580116,0.05294698621580116,0.0,16,16,0.0,0.1875,3,budget,11,0.0288420100195887,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YX,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738695,0,0.03326735619757389,0.05294698621580116,0.05294698621580116,0.0,16,16,0.0,0.1875,3,budget,11,0.0288420100195887,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YX,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738695,0,0.03326735619757389,0.05294698621580116,0.05294698621580116,0.0,16,16,0.0,0.1875,3,budget,11,0.0288420100195887,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YX,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738695,0,0.03326735619757389,0.05294698621580116,0.05294698621580116,0.0,16,16,0.0,0.1875,3,budget,11,0.0288420100195887,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YY,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.18828204634805157,0,0.012549363887866441,0.07366497852550861,0.07366497852550861,0.0,16,16,0.0,0.25,4,budget,6,0.03851912196960385,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YY,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.18828204634805157,0,0.012549363887866441,0.07366497852550861,0.07366497852550861,0.0,16,16,0.0,0.25,4,budget,6,0.03851912196960385,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YY,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.18828204634805157,0,0.012549363887866441,0.07366497852550861,0.07366497852550861,0.0,16,16,0.0,0.25,4,budget,6,0.03851912196960385,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YY,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.18828204634805157,0,0.012549363887866441,0.07366497852550861,0.07366497852550861,0.0,16,16,0.0,0.25,4,budget,6,0.03851912196960385,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YZ,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,6,0.033770412374643885,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YZ,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,6,0.033770412374643885,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YZ,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,6,0.033770412374643885,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,YZ,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.41657460351738684,0,0.03326735619757388,0.05294698621580118,0.05294698621580118,0.0,16,16,0.0,0.25,4,budget,6,0.033770412374643885,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,ZX,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.35215532092529367,0,0.0274211813687121,0.05879316104466296,0.05879316104466296,0.0,16,16,0.0,0.125,2,budget,2,0.037971690137781816,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,ZX,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.35215532092529367,0,0.0274211813687121,0.05879316104466296,0.05879316104466296,0.0,16,16,0.0,0.125,2,budget,2,0.037971690137781816,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,ZX,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.35215532092529367,0,0.0274211813687121,0.05879316104466296,0.05879316104466296,0.0,16,16,0.0,0.125,2,budget,2,0.037971690137781816,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,ZX,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.35215532092529367,0,0.0274211813687121,0.05879316104466296,0.05879316104466296,0.0,16,16,0.0,0.125,2,budget,2,0.037971690137781816,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,ZY,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.35215532092529367,0,0.0274211813687121,0.05879316104466296,0.05879316104466296,0.0,16,16,0.0,0.125,2,budget,2,0.037971690137781816,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,ZY,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.35215532092529367,0,0.0274211813687121,0.05879316104466296,0.05879316104466296,0.0,16,16,0.0,0.125,2,budget,2,0.037971690137781816,0.015294727169940394
