config,error
[50/240] o_shank | id | riemann_quantum_interference_map | X+XX | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[51/240] o_shank | id | riemann_quantum_interference_map | X+XX | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[52/240] o_shank | id | riemann_quantum_interference_map | X+XX | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[53/240] o_shank | id | riemann_advanced_data_map | X+XX | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[54/240] o_shank | id | riemann_advanced_data_map | X+XX | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[55/240] o_shank | id | riemann_advanced_data_map | X+XX | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[56/240] o_shank | id | riemann_advanced_data_map | X+XX | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[57/240] o_shank | id | zeta_data_map | X+XX | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[58/240] o_shank | id | zeta_data_map | X+XX | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[59/240] o_shank | id | zeta_data_map | X+XX | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[60/240] o_shank | id | zeta_data_map | X+XX | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[61/240] o_shank | id | riemann_data_map | all_pairs | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[62/240] o_shank | id | riemann_data_map | all_pairs | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[63/240] o_shank | id | riemann_data_map | all_pairs | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[64/240] o_shank | id | riemann_data_map | all_pairs | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[65/240] o_shank | id | riemann_spectral_data_map | all_pairs | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[66/240] o_shank | id | riemann_spectral_data_map | all_pairs | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[67/240] o_shank | id | riemann_spectral_data_map | all_pairs | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[68/240] o_shank | id | riemann_spectral_data_map | all_pairs | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[69/240] o_shank | id | riemann_quantum_interference_map | all_pairs | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[70/240] o_shank | id | riemann_quantum_interference_map | all_pairs | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[71/240] o_shank | id | riemann_quantum_interference_map | all_pairs | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[72/240] o_shank | id | riemann_quantum_interference_map | all_pairs | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[73/240] o_shank | id | riemann_advanced_data_map | all_pairs | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[74/240] o_shank | id | riemann_advanced_data_map | all_pairs | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[75/240] o_shank | id | riemann_advanced_data_map | all_pairs | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[76/240] o_shank | id | riemann_advanced_data_map | all_pairs | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[77/240] o_shank | id | zeta_data_map | all_pairs | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[78/240] o_shank | id | zeta_data_map | all_pairs | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[79/240] o_shank | id | zeta_data_map | all_pairs | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[80/240] o_shank | id | zeta_data_map | all_pairs | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[81/240] o_shank | tanh | riemann_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[82/240] o_shank | tanh | riemann_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[83/240] o_shank | tanh | riemann_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[84/240] o_shank | tanh | riemann_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[85/240] o_shank | tanh | riemann_spectral_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[86/240] o_shank | tanh | riemann_spectral_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[87/240] o_shank | tanh | riemann_spectral_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
