Kernel,Geometric Difference,Eigenvalue Max,Eigenvalue Min,Eigenvalue Ratio Max/Min
Baseline (AngleX sem entanglement),12.304153620787151,138.69494192281593,5.6437852903036156e-05,2457476.4814929115
Basic sem Hadamard,71.67340981998423,52.87978602682827,0.0031451569523793165,16813.08282739796
Basic sem Hadamard XX,70.1523088422304,51.11227988308717,0.002862684102144783,17854.669350113007
Basic com Hadamard,12.30415362078737,138.69494192281547,5.6437852902812756e-05,2457476.4815026307
Strong sem Hadamard,71.67340981998423,52.87978602682827,0.0031451569523793165,16813.08282739796
Strong com Hadamard,12.30415362078737,138.69494192281547,5.6437852902812756e-05,2457476.4815026307
IQP,184.45534334366766,123.42881288234025,0.013495601148984394,9145.855053447793
