Group,RMSE,R2,Best C,Best epsilon,Best gamma,Features
Rank Aggregation,0.05202605764248867,0.9667017394142817,5,0.001,0.1,10
Mutual Information,0.08119094742429557,0.9189048408165139,1,0.01,scale,10
MRMR (10 features),0.0979087616092653,0.8820703995742838,5,0.01,scale,10
Random Forest,0.17721346386846626,0.6136569169974972,5,0.1,scale,10
Gevrey Method,0.2244027930626268,0.38050724966717187,5,0.01,0.01,10
Correlation,0.2656189940300701,0.13204348521737252,5,0.5,0.01,10
