kernel,n_qubits,rmse,r2,best_c,best_epsilon
9_Fourier,9,0.06185592388390498,0.95293020487801,5,0.01
10_Fourier,10,0.07182484589904944,0.9365357549956042,5,0.01
8_Fourier,8,0.07302593656201088,0.9343954466322382,5,0.01
7_Fourier,7,0.07584695189538065,0.9292288950040604,5,0.01
6_Fourier,6,0.07808545257292103,0.9249898600710025,5,0.01
5_Fourier,5,0.09394118605136875,0.8914345116573424,5,0.01
4_Fourier,4,0.12935535843551563,0.7941510957647413,5,0.01
3_Fourier,3,0.13156925073641926,0.787044669672097,5,0.1
2_Fourier,2,0.1746198703090788,0.6248827509777231,5,0.1
