N Features,RMSE,R2,Best C,Best epsilon
9,0.07623004084639548,0.928512186010209,10,0.01
8,0.08961075171608397,0.9012129644484962,10,0.001
10,0.09001880830104533,0.9003112315618971,10,0.01
7,0.10417281127774265,0.8664977820081956,10,0.001
6,0.10637697061571187,0.8607885525981496,10,0.01
5,0.13761558016584435,0.7670219945543522,10,0.1
4,0.22449085905820693,0.3800209192587103,1,0.001
3,0.2820364747226058,0.021433672975997742,10,0.5
2,0.28529608281983515,-0.0013164006889598845,5,0.1
