kernel,rmse,r2,best_c,best_epsilon
6_enhanced,0.07542680917032347,0.9300107751130244,1,0.01
5_enhanced,0.0788889203804513,0.9234382701505676,5,0.01
8_enhanced,0.10511961378426032,0.8640600126082459,1,0.01
9_enhanced,0.10906345667269371,0.8536683638775417,1,0.01
3_enhanced,0.12793183464395805,0.7986567992823451,5,0.01
10_enhanced,0.1354336089054107,0.7743514148968886,1,0.01
4_enhanced,0.13886165138347487,0.7627837896588087,5,0.01
2_enhanced,0.17052587200338418,0.6422659575474925,5,0.1
1_enhanced,0.28643253004620167,-0.009309568167454874,1,0.1
