N Features,RMSE,R2,Best C,Best epsilon
9,0.1870233276629461,0.569780812379242,1.0,0.001
10,0.1974039745134732,0.520612450216805,1.0,0.001
6,0.1985530693607043,0.5150085018876165,1.0,0.1
8,0.20121618131844276,0.5019060357449164,1.0,0.001
7,0.21908176219016504,0.4093998233206817,5.0,0.1
4,0.23473945892880573,0.3222250078989115,1.0,0.1
5,0.23663378899597605,0.31122573909608386,0.1,0.1
3,0.2584765265350877,0.17785317588860272,0.1,0.1
2,0.2690026433826768,0.1090621013142572,0.1,0.1
