kernel,n_qubits,RMSE,R2,best_c,best_epsilon
9_XY,9,0.06574830709993135,0.9468199352064036,5,0.01
10_XY,10,0.0723608903470304,0.9355849251316641,5,0.01
8_XY,8,0.08224156930424664,0.916792496932021,5,0.01
7_XY,7,0.08639933616921235,0.9081666296591164,5,0.01
6_XY,6,0.08869428218587701,0.9032232666443472,5,0.01
5_XY,5,0.10133392427383549,0.8736749626877753,5,0.01
4_XY,4,0.14433746970025935,0.7437063256254861,5,0.01
3_XY,3,0.14733711997287904,0.7329429392320765,5,0.01
2_XY,2,0.20845923463050237,0.46540857297749183,1,0.1
