kernel,rmse,r2,best_c,best_epsilon
6_YY_v2,0.08906940935001907,0.9024029126698644,5,0.01
6_XY_v2,0.0893172985365845,0.9018589115607031,5,0.01
9_XY_v2,0.06825676831515425,0.942684622554373,5,0.01
9_YY_v2,0.06651719861528423,0.9455688370692648,5,0.01
10_YY_v2,0.07254369111338091,0.935259058537905,5,0.01
