kernel,rmse,r2,best_c,best_epsilon
6_enhanced,0.07542680917032347,0.9300107751130244,1,0.01
8_enhanced,0.10511961378426032,0.8640600126082459,1,0.01
9_enhanced,0.10906345667269371,0.8536683638775417,1,0.01
10_enhanced,0.1354336089054107,0.7743514148968886,1,0.01
