RMSE,R2,Best C,Best epsilon,Best gamma,Features
0.057857791953558786,0.9588183803554151,10.0,0.001,scale,9
0.06461962778982897,0.9486301122887675,10.0,0.01,scale,6
0.07082795649059623,0.9382852270181119,5.0,0.001,scale,10
0.07084037979636655,0.9382635754338093,10.0,0.001,scale,8
0.07294514363548567,0.9345405307501498,10.0,0.001,scale,7
0.07501347040826645,0.9307757549324658,10.0,0.01,scale,5
0.09635347569018167,0.885787277848075,10.0,0.01,scale,3
0.11171338411587405,0.8464711035851411,10.0,0.001,scale,4
0.11562514365916039,0.8355309125380632,10.0,0.01,scale,2
0.2862558739033609,-0.008064976625597575,0.1,0.5,scale,1
