N Features,MSE,R2
9,0.009336063842571362,0.8851466875710972
8,0.009624562382475815,0.8815975459309301
6,0.01026772858409109,0.8736852426365811
7,0.010377780911051246,0.872331366473669
10,0.010464339571454786,0.8712665120516778
5,0.017497244188639374,0.7847469246858633
4,0.04504255491079455,0.44588139937776416
3,0.07510143388476866,0.07609367338578255
2,0.08144606295687033,-0.001958670444687005
