N Features,RMSE,R2
9,0.05622916178233921,0.9611041800600438
6,0.06461962778985456,0.9486301122887267
10,0.06775170686135808,0.9435296871522518
8,0.07170114344674221,0.9367541730682951
7,0.07238106003804202,0.9355490103378387
5,0.07501347040826818,0.9307757549324626
3,0.0963534756901893,0.8857872778480569
4,0.11143301771212574,0.8472407576571943
2,0.11562514365918518,0.8355309125379927
1,0.3239487632481613,-0.29101819972325904
