Group,model,Best RMSE,R2,Best C,Best Epsilon,Features
Random Forest (10),SVR,0.03616796805066268,0.9797257414356738,10.0,0.01,10
MRMR (10),SVR,0.036308394739261673,0.9795680010838157,10.0,0.01,10
Random Forest (5),SVR,0.0557818660856353,0.951773822795724,10.0,0.01,5
Gevrey (10),SVR,0.06249642359879722,0.9394649241908223,10.0,0.01,10
MRMR (50),SVR,0.06368827262916311,0.9371340185430628,10.0,0.01,50
Random Forest (20),SVR,0.06450617484132022,0.9355089661865953,10.0,0.02,20
Gevrey (24),SVR,0.07719376864377432,0.9076448223529106,10.0,0.02,24
Correlation (10),SVR,0.21769430936849465,0.2655015000546559,1.0,0.1,10
