Group,model,Best RMSE,R2,Best C,Best Epsilon,Features
MRMR (10),SVR,0.038341259687880457,0.9772160239812677,10.0,0.01,10
Random Forest (5),SVR,0.055236030543415394,0.9527130087011517,10.0,0.01,5
Random Forest (10),SVR,0.06465528908047709,0.9352104630934623,10.0,0.01,10
MRMR (50),SVR,0.08734175100064685,0.8817664992600751,10.0,0.01,50
Gevrey (10),SVR,0.1034101065502538,0.8342617566999669,10.0,0.01,10
Random Forest (20),SVR,0.12303217120450652,0.7653966892427898,1.0,0.01,20
Gevrey (24),SVR,0.12343153555682902,0.7638711652841906,10.0,0.01,24
Correlation (10),SVR,0.2095364670435712,0.31951901459772614,0.1,0.02,10
