feature,corr,mutual_info,rf_importance,nn_weight,final_score
z_co_gram_lag_2,0.015175281216842751,1.0,1.0,1.0,1.0
d_lag_1,0.18359084299153922,0.07894302503997072,0.397279266394784,0.9016406512916978,0.6960740177075999
z_gram_lag_1,0.004842245998672645,0.5677962918257531,0.8461506953817124,0.6845227727951041,0.6915288185253398
z_gram,0.012653026642193883,0.42501058168559275,0.41729190737337774,0.7830219605577559,0.6480252075177815
z_co_gram_lag_1,0.019686449236758444,0.2228150851006605,0.010425559318426324,0.8076982327105462,0.5513738154057632
d_lag_2,0.048400334206166934,0.01953749706978596,0.0006600155858455325,0.8472581268915929,0.5433620285851347
d_lag_4,0.18476914310629095,0.0457520606026505,0.0002813432997681658,0.6689131868648913,0.47110699551379737
z_gram_lag_2,0.01700828129660875,0.1720433762573228,0.007997201664904693,0.6556216195256983,0.4460808403387348
z_gram_lag_5,0.00462717418869375,0.021454022615580833,0.0018274678182152988,0.6940030166369073,0.4376137305452334
d_lag_3,0.1511060683725193,0.026678876806536595,0.00022295017008365874,0.6330477328914984,0.43681823282748233
z_gram_lag_4,0.022575809205572003,0.03100727105529525,0.010497841424770307,0.6799265814105204,0.43672342407938375
z_gram_lag_6,0.018819203540006584,0.016730633708802203,0.0004793288338347223,0.6849383693322549,0.43437022710726125
z_gram_lag_9,0.015186473828569984,0.026697556107837906,0.0005484979241446437,0.6821694581684022,0.43361610336620715
gram_lag_8,0.146334102703388,0.027416073187175604,0.0040835477729850205,0.6205085902029266,0.42868123391345125
d_lag_19,0.18569154327009865,0.06024179626336527,0.00041902778469832903,0.5940115913166117,0.4274324330562121
co_gram_lag_6,0.14633348553403563,0.027417313808043485,0.004196968681780206,0.6118997044165235,0.4233422800729066
gram_lag_4,0.14633339741418738,0.027418210179927037,0.00379312899034437,0.6083342781829542,0.4210470225690691
gram,0.14633269287933173,0.027415889176057157,0.00421845468609547,0.5942387094965225,0.4123494265026178
gram_lag_7,0.14633392631023828,0.027416498824032798,0.004284580746669156,0.5936263122775958,0.4119808976760133
co_gram_lag_9,0.14633401450090358,0.02741573410943428,0.003979545054064535,0.5908892310881073,0.41021958849443385
gram_lag_3,0.14633322120984624,0.027417305962401495,0.004229343279786214,0.5845605007908191,0.4063258378160019
gram_lag_10,0.14633445563160993,0.02741481970785377,0.0049322204694035796,0.5828955432760812,0.40542030669740103
