feature_name,rmse,r2,n_qubits,elapsed_time
Random Forest,1.7194366859647903,-32.34496927208429,5,3297.6974201202393
Correlation,0.3023142125223702,-0.03080157648769588,10,6976.4761781692505
Gevrey Method (10 features),0.30058363668355836,-0.019033856795210857,10,6965.121762752533
Gevrey Method (14 features),0.2989435949254182,-0.007944106569413467,14,39371.784992456436
mRMR (10 features),0.2967897726654843,0.006527599444296928,10,6839.397648096085
