C,epsilon,mse,r2,execution_time
0.1,0.01,0.019261031204636687,0.8096894397658428,2.3110389709472656
0.1,0.1,0.02310805132585069,0.7716785696975743,0.8281090259552002
0.1,0.2,0.028661706773270186,0.7168051172683267,0.33235764503479004
1.0,0.01,0.01066193332375255,0.8946536931244824,5.00185227394104
1.0,0.1,0.015012598871538045,0.8516665036540045,0.6493828296661377
1.0,0.2,0.022545504204497024,0.7772368732320785,0.26755452156066895
10.0,0.01,0.009905640100195017,0.9021263245504614,15.705968141555786
10.0,0.1,0.014367787513090941,0.858037627274939,0.683466911315918
10.0,0.2,0.022543293427150488,0.7772587170404863,0.27570080757141113
