Group,RMSE,R2,Best C,Best epsilon,Best gamma,Features
J. Kampe,0.033892308282288744,0.9825142777990971,10,0.001,0.01,40
Gevrey Method,0.04026476849589076,0.9753207651308088,10,0.001,0.01,24
Random Forest (10),0.04073779944706821,0.9747374951520705,10,0.001,scale,10
Random Forest (5),0.050051810707509185,0.9618652533832667,10,0.01,1.0,5
Random Forest Full,0.058138046323593665,0.9485480136838916,10,0.001,0.01,20
Correlation,0.07521059716818031,0.9138928228129022,10,0.01,0.01,44
mRMR (10 features),0.08882032205181419,0.8799102431953935,1,0.01,0.1,10
Gevrey Method (10 features),0.09650252848221827,0.8582383813774179,1,0.01,scale,10
