feature
gram
z_gram
z_cogram
z_term_9
z_gram_lag_1
d_lag_4
d_lag_5
d_lag_6
d_lag_8
d_lag_18
d_lag_19
d_lag_20
d_lag_21
d_lag_23
z_cogram_lag_1
z_cogram_lag_2
z_cogram_lag_3
z_cogram_lag_10
z_integer_lag_2
z_integer_lag_9
