Group,RMSE,R2,Best C,Best epsilon,Best gamma,Features
MRMR (10),0.026695573669210833,0.9891330219219502,100,0.001,0.1,10
Random Forest (20),0.040941637006268135,0.9744400098618436,100,0.01,0.01,20
Gevrey (24),0.04147101156929931,0.9737747562886521,10,0.001,0.01,24
MRMR (50),0.04393745245952977,0.9705625613130899,10,0.001,0.01,50
Gevrey (10),0.12674598565065578,0.7550380101682949,100,0.001,0.01,10
Random Forest (5),0.2261652739835352,0.22002241706469694,1,0.1,0.1,5
Random Forest (10),0.23357911046876803,0.16804798989093894,1,0.1,0.01,10
Correlation (10),0.2443231831493254,0.08975221486722107,1,0.5,0.01,10
