feature_name,rmse,r2,n_qubits,elapsed_time
Random Forest,0.09017064613195605,0.908295994028409,5,1332.626424074173
Correlation,0.357524665157026,-0.4416836110262068,10,1936.0753836631775
Gevrey Method (10 features),0.12286877151747046,0.8297288863782236,10,1882.3664271831512
mRMR (10 features),0.15199896562986168,0.7394211222429066,10,1869.2784142494202
