Group,RMSE,R2,Best C,Best epsilon,Best gamma,Features
MRMR (10),0.02710089100069557,0.9886168122476687,100,0.001,0.1,10
Random Forest (10),0.029081307644270967,0.986892356482312,10,0.001,0.1,10
Random Forest (5),0.03268234072486224,0.9834452332222674,10,0.001,1.0,5
MRMR (50),0.043787933470997166,0.9702829524445973,10,0.001,0.01,50
Random Forest (20),0.0752238307896546,0.9122983725505568,10,0.001,0.01,20
Gevrey (10),0.08009103619179107,0.9005821000633739,100,0.01,0.01,10
Gevrey (24),0.08159136306827074,0.8968224675693531,10,0.01,0.01,24
Correlation (10),0.22285594861186184,0.230257932183337,1,0.01,scale,10
