Group,RMSE,R2,Best C,Best epsilon,Best gamma,Features
Random Forest Full,0.030290601929394072,0.9860331944912124,100.0,0.001,0.01,20
J. Kampe,0.033892308282288744,0.9825142777990971,10.0,0.001,0.01,40
Correlation,0.07264694344804108,0.9196629331751827,10.0,0.01,0.01,44
Gevrey Method,0.07576093111872599,0.9126280787909702,10.0,0.01,0.01,24
mRMR (10 features),0.10984618906323576,0.8163244846738476,1.0,0.01,0.1,10
Gevrey Method (10 features),0.1907999547975618,0.44583663316063726,1.0,0.1,0.1,10
Random Forest (10),0.2098254899724968,0.32981026739464014,0.1,0.1,scale,10
Random Forest (5),0.21610097816114393,0.2891225408693455,0.1,0.01,0.1,5
