dataset,n_qubits,d_full,preprocessor,data_map,pauli_seq,entanglement,reps,var_y,tau_mode,r2_target_effective,tau,r2_axis_max,target_unreachable,tau_minus_mse_axis,mse_axis_true,mse_mc_adaptive,gap_mc_adaptive,t_used_adaptive,t_req_pred,p_L_final,p_hat_final,s_successes,stop_reason,t_epsilon,ridge_train_mse,svr_classic_mse
riemann_features,6,4096,id,riemann_spectral_data_map,Z+ZZ,linear,1,0.13222736132015053,ratio,0.050000000000000044,0.125615993254143,0.32646184490210217,0,0.03655582025710567,0.08906017299703732,0.08906017299703732,0.0,1050,774,0.004754743973192213,0.04666666666666667,49,certified,468,0.0002771914823454303,0.007462323994503397
riemann_features,6,4096,id,riemann_spectral_data_map,Z+ZZ,linear,2,0.13222736132015053,ratio,0.050000000000000044,0.125615993254143,0.20183028999821773,0,0.020076118614937563,0.10553987463920543,0.1268568878289148,0.02131701318970937,90,4096,0.0,0.0,0,futility_eps,427,2.0637298062736262e-05,0.007462323994503397
riemann_features,6,4096,id,riemann_spectral_data_map,Z+ZZ,full,1,0.13222736132015053,ratio,0.050000000000000044,0.125615993254143,0.2404437579388511,0,0.02518187559214774,0.10043411766199525,0.10227004910394387,0.0018359314419486156,2130,1817,0.0020286400794834146,0.03145539906103286,67,certified,228,2.3285628194916223e-05,0.007462323994503397
riemann_features,6,4096,id,riemann_spectral_data_map,Z+ZZ,full,2,0.13222736132015053,ratio,0.050000000000000044,0.125615993254143,0.1273754238420315,0,0.010231148125660075,0.11538484512848292,0.1271204303686529,0.011735585240169974,90,4096,0.0,0.0,0,futility_eps,205,6.371867779105348e-08,0.007462323994503397
riemann_features,6,4096,id,riemann_quantum_interference_map,Z+ZZ,linear,1,0.13222736132015053,ratio,0.050000000000000044,0.125615993254143,0.16306386769131698,0,0.014950136885473447,0.11066585636866955,0.1121729998809243,0.001507143512254755,1950,1785,0.0020655696943114484,0.03282051282051282,64,certified,180,0.00013226486118379996,0.007462323994503397
riemann_features,6,4096,id,riemann_quantum_interference_map,Z+ZZ,linear,2,0.13222736132015053,ratio,0.050000000000000044,0.125615993254143,0.19720593868281489,0,0.019464652842684477,0.10615134041145852,0.10615134041145852,0.0,4096,4096,0.0,0.01123046875,46,budget,855,1.0289605584827716e-06,0.007462323994503397
riemann_features,6,4096,id,riemann_quantum_interference_map,Z+ZZ,full,1,0.13222736132015053,ratio,0.050000000000000044,0.125615993254143,0.23316757715163527,0,0.024219765406165814,0.10139622784797718,0.10139622784797718,0.0,4096,4096,0.0,0.0205078125,84,budget,180,1.4830700944551973e-07,0.007462323994503397
riemann_features,6,4096,id,riemann_quantum_interference_map,Z+ZZ,full,2,0.13222736132015053,ratio,0.050000000000000044,0.125615993254143,0.19478695794569145,0,0.019144797402730368,0.10647119585141263,0.10647119585141263,0.0,4096,4096,0.0,0.0029296875,12,budget,921,6.252660957573541e-10,0.007462323994503397
riemann_features,6,4096,id,riemann_advanced_data_map_v2,Z+ZZ,linear,1,0.13222736132015053,ratio,0.050000000000000044,0.125615993254143,0.4219531061662303,0,0.049182377763194424,0.07643361549094857,0.09462894740437514,0.018195331913426566,850,579,0.006358678784705647,0.052941176470588235,45,certified,1094,0.000510804383327913,0.007462323994503397
riemann_features,6,4096,id,riemann_advanced_data_map_v2,Z+ZZ,linear,2,0.13222736132015053,ratio,0.050000000000000044,0.125615993254143,0.4606263729421529,0,0.05429604178260493,0.07131995147153807,0.09013628807853856,0.018816336607000494,1450,1247,0.002955196556515799,0.038620689655172416,56,certified,2759,4.808236427370621e-05,0.007462323994503397
