N Features,MSE,R2,Best C,Best epsilon
4,0.023943705408685866,0.7263697924459753,5,0.1
9,0.024810561460277106,0.7164633056567449,1,0.001
5,0.024884294932634717,0.7156206747856861,1,0.1
6,0.025057583917903095,0.713640317101006,1,0.1
7,0.02855425333821959,0.6736801537554478,1,0.01
8,0.029720475642553517,0.6603524901485749,1,0.001
3,0.030468186240915324,0.6518076052726582,10,0.1
10,0.03336091980002523,0.6187492598466994,1,0.001
2,0.04280877438182172,0.5107785691774349,10,0.1
