kernel,n_qubits,MSE,R2,best_c,best_epsilon
9_XY,9,0.010431327605844481,0.8807901162693135,5,0.01
8_XY,8,0.019576905343423164,0.7762738648445315,5,0.1
10_XY,10,0.019822813503044278,0.7734636105581609,1,0.01
7_XY,7,0.020793621737257285,0.762369151530675,5,0.01
6_XY,6,0.02112598953923422,0.758570830882851,5,0.01
5_XY,5,0.023875482871435785,0.727149443995682,5,0.1
4_XY,4,0.025617586898008252,0.7072405669762212,5,0.01
3_XY,3,0.035943757384233166,0.5892324255814074,5,0.01
2_XY,2,0.042711538662673076,0.511889785238532,5,0.1
