kernel,n_qubits,mse,r2,best_c,best_epsilon
9_Fourier,9,0.01206859179886535,0.8620793556201053,5,0.01
8_Fourier,8,0.02033164775684357,0.7676486199332266,5,0.01
5_Fourier,5,0.021326101139227626,0.7562839426295276,5,0.1
6_Fourier,6,0.021610512836287857,0.7530336674374033,5,0.1
10_Fourier,10,0.02223334947748503,0.7459158501867278,1,0.01
4_Fourier,4,0.02314347872684777,0.7355148345062654,5,0.1
7_Fourier,7,0.023323358493074087,0.733459156952305,5,0.01
3_Fourier,3,0.03213049099864158,0.6328106794372078,5,0.1
2_Fourier,2,0.04385062121142058,0.4988722765064926,5,0.1
