N Features,MSE,R2,Best C,Best epsilon
9,0.013672966364056545,0.8437444597560586,0.1,0.1
8,0.01765937679046975,0.7981875046500511,0.1,0.1
10,0.017765850184982387,0.7969707198399228,0.1,0.1
7,0.019923509875456685,0.7723128459286752,0.1,0.1
6,0.01997420645549211,0.7717334821468129,1.0,0.01
5,0.025568924887128527,0.7077966795707316,5.0,0.1
4,0.03105863541592278,0.6450599140715803,5.0,0.01
3,0.04236217906021596,0.5158822892766352,10.0,0.01
2,0.04819249560343854,0.4492530563071665,5.0,0.1
