dataset,n_qubits,d_full,preprocessor,data_map,pauli_seq,entanglement,reps,var_y,tau_mode,r2_target_effective,tau,r2_axis_max,target_unreachable,tau_minus_mse_axis,mse_axis_true,mse_mc_adaptive,gap_mc_adaptive,t_used_adaptive,t_req_pred,p_L_final,p_hat_final,s_successes,stop_reason,t_epsilon,ridge_train_mse,svr_classic_mse
o_shank,6,4096,id,riemann_data_map,Z+ZZ,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.17901002549019362,0,0.011558903311738242,0.07355818820442471,0.08735757787720418,0.013799389672779466,90,4096,0.0,0.0,0,futility_eps,1094,0.0010499883690983922,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,Z+ZZ,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.1254999422529558,0,0.006764563678115634,0.07835252783804732,0.08667999613881565,0.008327468300768331,90,4096,0.0,0.0,0,futility_eps,15,1.377037339644224e-06,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,Z+ZZ,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.3177196747740132,0,0.02398686321938638,0.06113022829677657,0.06113022829677657,0.0,4096,4096,0.0,0.00927734375,38,budget,2600,4.846719680343882e-07,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,Z+ZZ,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.30953956421799744,0,0.023253950357482463,0.06186314115868049,0.08574595907494692,0.02388281791626643,90,4096,0.0,0.0,0,futility_eps,630,1.2700933006922781e-09,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,Z+ZZ,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.1646205172789974,0,0.010269647430385637,0.07484744408577731,0.08704786880580369,0.012200424720026373,90,4096,0.0,0.0,0,futility_eps,803,1.4420441370069368e-05,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,Z+ZZ,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.12363254775649302,0,0.006597250848376479,0.07851984066778647,0.08866876402689804,0.010148923359111564,90,4096,0.0,0.0,0,futility_eps,37,2.9971394002144096e-08,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,Z+ZZ,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.2804171792604869,0,0.020644673825274726,0.06447241769088823,0.08858867572271373,0.024116258031825502,90,4096,0.0,0.0,0,futility_eps,2600,3.126146096724787e-09,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,Z+ZZ,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.2804171792604868,0,0.020644673825274712,0.06447241769088824,0.08891361040447093,0.024441192713582693,90,4096,0.0,0.0,0,futility_eps,630,2.288704676763253e-10,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,Z+ZZ,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.08360177773307476,0,0.003010616410959885,0.08210647510520307,0.08808798194454791,0.005981506839344841,90,4096,0.0,0.0,0,futility_eps,1,0.00030815324622647826,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,Z+ZZ,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.07864548673427996,0,0.0025665479114597295,0.08255054360470322,0.08763450159450374,0.005083957989800519,90,4096,0.0,0.0,0,futility_eps,1,6.895350818811217e-06,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,Z+ZZ,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.2777301685143605,0,0.02040392588887162,0.06471316562729133,0.06471316562729133,0.0,4096,4096,0.0,0.001953125,8,budget,2600,2.3093928889991505e-08,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,Z+ZZ,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.256361307523032,0,0.018489341366139958,0.066627750150023,0.08820747351485997,0.021579723364836975,90,4096,0.0,0.0,0,futility_eps,630,1.209318899669154e-09,0.030136814542458562
o_shank,6,4096,id,riemann_advanced_data_map,Z+ZZ,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.10376358097354288,0,0.004817052254696516,0.08030003926146644,0.08700956055861597,0.006709521297149537,90,4096,0.0,0.0,0,futility_eps,1,0.0004023393469412045,0.030136814542458562
o_shank,6,4096,id,riemann_advanced_data_map,Z+ZZ,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.07024868783182259,0,0.0018142204371194293,0.08330287107904352,0.08618666426249029,0.0028837931834467673,90,4096,0.0,0.0,0,futility_eps,1,1.8026731524804304e-05,0.030136814542458562
o_shank,6,4096,id,riemann_advanced_data_map,Z+ZZ,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.2441464827849117,0,0.01739493046604683,0.06772216105011612,0.06772216105011612,0.0,4096,4096,0.0,0.001708984375,7,budget,2600,4.085339460680441e-07,0.030136814542458562
o_shank,6,4096,id,riemann_advanced_data_map,Z+ZZ,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.24209029464675658,0,0.01721070230401546,0.06790638921214749,0.0864670573287465,0.01856066811659901,90,4096,0.0,0.0,0,futility_eps,630,3.7675878284577984e-08,0.030136814542458562
o_shank,6,4096,id,zeta_data_map,Z+ZZ,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.010892058434237128,1,-0.003503951832907151,0.0886210433490701,0.08885676769144267,0.00023572434237256745,90,4096,0.0,0.0,0,futility_eps,1,6.09445210619835e-10,0.030136814542458562
o_shank,6,4096,id,zeta_data_map,Z+ZZ,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.011236676294461234,1,-0.0034730751276999955,0.08859016664386295,0.0890270886958352,0.0004369220519722522,90,4096,0.0,0.0,0,futility_eps,1,2.2812949772829544e-10,0.030136814542458562
o_shank,6,4096,id,zeta_data_map,Z+ZZ,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.009384087571328803,1,-0.0036390614054775394,0.08875615292164049,0.08929954248138439,0.0005433895597438954,90,4096,0.0,0.0,0,futility_eps,1,1.1914155604762028e-10,0.030136814542458562
o_shank,6,4096,id,zeta_data_map,Z+ZZ,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.010158580302945364,1,-0.003569669227882169,0.08868676074404512,0.08919352245459897,0.0005067617105538463,90,4096,0.0,0.0,0,futility_eps,1,8.455258310748811e-11,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,Y+YY,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.17901002549019362,0,0.011558903311738242,0.07355818820442471,0.0869723029402201,0.013414114735795388,90,4096,0.0,0.0,0,futility_eps,756,0.001049988369085086,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,Y+YY,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.08834726553206951,0,0.003435797589145015,0.08168129392701794,0.08904098747460325,0.007359693547585311,90,4096,0.0,0.0,0,futility_eps,1,0.05241720031348145,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,Y+YY,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.3177196747740132,0,0.02398686321938638,0.06113022829677657,0.08616291471382122,0.025032686417044647,90,4096,0.0,0.0,0,futility_eps,630,4.846719680458099e-07,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,Y+YY,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.014544917095197896,1,-0.0031766668803380887,0.08829375839650104,0.08898611314880651,0.000692354752305474,90,4096,0.0,0.0,0,futility_eps,1,0.05748311456357576,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,Y+YY,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.1646205172789974,0,0.010269647430385637,0.07484744408577731,0.08846015646777944,0.013612712382002123,90,4096,0.0,0.0,0,futility_eps,756,1.4420441369976069e-05,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,Y+YY,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.1984836529228342,0,0.013303680709986374,0.07181341080617658,0.08951830738476274,0.017704896578586163,90,4096,0.0,0.0,0,futility_eps,281,0.052123551305378525,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,Y+YY,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.2804171792604869,0,0.020644673825274726,0.06447241769088823,0.08824306141685728,0.023770643725969057,90,4096,0.0,0.0,0,futility_eps,630,3.1261460966841084e-09,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,Y+YY,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.07032186838615628,0,0.0018207771907409326,0.08329631432542202,0.0885493260952878,0.005253011769865784,90,4096,0.0,0.0,0,futility_eps,1,0.016122810504054026,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,Y+YY,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.08360177773307476,0,0.003010616410959885,0.08210647510520307,0.08794213689481553,0.005835661789612465,90,4096,0.0,0.0,0,futility_eps,1,0.00030815324623652913,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,Y+YY,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.06867321623624234,0,0.0016730630055593054,0.08344402851060365,0.08846663227307937,0.005022603762475722,90,4096,0.0,0.0,0,futility_eps,1,0.06127563407501328,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,Y+YY,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.2777301685143605,0,0.02040392588887162,0.06471316562729133,0.08783573115347391,0.02312256552618258,90,4096,0.0,0.0,0,futility_eps,630,2.309392889063187e-08,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,Y+YY,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.08458600801818394,0,0.0030988004312236944,0.08201829108493926,0.08812111091472022,0.006102819829780962,90,4096,0.0,0.0,0,futility_eps,1,0.014711131714827467,0.030136814542458562
o_shank,6,4096,id,riemann_advanced_data_map,Y+YY,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.1037635809735431,0,0.00481705225469653,0.08030003926146642,0.08824740065661027,0.007947361395143848,90,4096,0.0,0.0,0,futility_eps,1,0.0004023393469447939,0.030136814542458562
o_shank,6,4096,id,riemann_advanced_data_map,Y+YY,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.03161638875130535,1,-0.0016471152853186344,0.08676420680148159,0.08792918306537129,0.0011649762638896999,90,4096,0.0,0.0,0,futility_eps,1,0.061156689456164294,0.030136814542458562
o_shank,6,4096,id,riemann_advanced_data_map,Y+YY,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.2441464827849117,0,0.01739493046604683,0.06772216105011612,0.0871740521239598,0.01945189107384368,90,4096,0.0,0.0,0,futility_eps,630,4.0853394606345954e-07,0.030136814542458562
o_shank,6,4096,id,riemann_advanced_data_map,Y+YY,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.10024068938422481,0,0.004501411953844403,0.08061567956231855,0.08846052116001196,0.007844841597693414,90,4096,0.0,0.0,0,futility_eps,1,0.014109566010862322,0.030136814542458562
o_shank,6,4096,id,zeta_data_map,Y+YY,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.010892058434237128,1,-0.003503951832907151,0.0886210433490701,0.08933013174999295,0.0007090884009228471,90,4096,0.0,0.0,0,futility_eps,1,6.09445210621468e-10,0.030136814542458562
o_shank,6,4096,id,zeta_data_map,Y+YY,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.009233563051440297,1,-0.0036525479416194134,0.08876963945778236,0.08916822994598986,0.00039859048820749254,90,4096,0.0,0.0,0,futility_eps,1,0.07259503613889845,0.030136814542458562
o_shank,6,4096,id,zeta_data_map,Y+YY,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.009384087571328803,1,-0.0036390614054775394,0.08875615292164049,0.08910473909425254,0.0003485861726120476,90,4096,0.0,0.0,0,futility_eps,1,1.1914155604720855e-10,0.030136814542458562
o_shank,6,4096,id,zeta_data_map,Y+YY,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.017402666644720455,1,-0.0029206212698781042,0.08803771278604106,0.0887578725237484,0.0007201597377073377,90,4096,0.0,0.0,0,futility_eps,1,0.046636766743898724,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,X+XX,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.0,1,-0.004479846921903313,0.08959693843806626,0.08959693843806626,0.0,90,4096,0.0,0.0,0,futility_eps,1,0.08959693843806625,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,X+XX,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.17901002549019385,0,0.011558903311738256,0.0735581882044247,0.08708094610465264,0.013522757900227944,90,4096,0.0,0.0,0,futility_eps,10,0.0010499883690843622,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,X+XX,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.0,1,-0.004479846921903313,0.08959693843806626,0.08959693843806626,0.0,90,4096,0.0,0.0,0,futility_eps,1,0.08959693843806625,0.030136814542458562
o_shank,6,4096,id,riemann_data_map,X+XX,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.3177196747740123,0,0.023986863219386305,0.06113022829677665,0.06113022829677665,0.0,4096,4096,0.0,0.00927734375,38,budget,630,4.846719680336714e-07,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,X+XX,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.0,1,-0.004479846921903313,0.08959693843806626,0.08959693843806626,0.0,90,4096,0.0,0.0,0,futility_eps,1,0.08959693843806625,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,X+XX,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.16462051727899762,0,0.010269647430385664,0.07484744408577729,0.08905819328926369,0.014210749203486403,90,4096,0.0,0.0,0,futility_eps,134,1.4420441370014868e-05,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,X+XX,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.0,1,-0.004479846921903313,0.08959693843806626,0.08959693843806626,0.0,90,4096,0.0,0.0,0,futility_eps,1,0.08959693843806625,0.030136814542458562
o_shank,6,4096,id,riemann_spectral_data_map,X+XX,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.28041717926048626,0,0.02064467382527467,0.06447241769088828,0.08820094138581157,0.023728523694923287,90,4096,0.0,0.0,0,futility_eps,630,3.126146096660069e-09,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,X+XX,linear,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.0,1,-0.004479846921903313,0.08959693843806626,0.08959693843806626,0.0,90,4096,0.0,0.0,0,futility_eps,1,0.08959693843806625,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,X+XX,linear,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.08360177773307464,0,0.003010616410959871,0.08210647510520308,0.08701997250269318,0.004913497397490099,90,4096,0.0,0.0,0,futility_eps,1,0.00030815324623870784,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,X+XX,full,1,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.0,1,-0.004479846921903313,0.08959693843806626,0.08959693843806626,0.0,90,4096,0.0,0.0,0,futility_eps,1,0.08959693843806625,0.030136814542458562
o_shank,6,4096,id,riemann_quantum_interference_map,X+XX,full,2,0.08959693843806626,ratio,0.050000000000000044,0.08511709151616295,0.2777301685143607,0,0.020403925888871632,0.06471316562729132,0.08589344394986236,0.021180278322571036,90,4096,0.0,0.0,0,futility_eps,630,2.3093928890431824e-08,0.030136814542458562
